RefseqID,Group,AssemblyLevel,Size(MB),ArrayCount,Kingdom
GCF_000012645.1_ASM1264v1,Cyanobacteria,COMP,1.7092,1,Bacteria
GCF_000012665.1_ASM1266v1,Proteobacteria,COMP,3.73023,1,Bacteria
GCF_000012685.1_ASM1268v1,Proteobacteria,COMP,9.13976,6,Bacteria
GCF_000012705.1_ASM1270v1,Firmicutes,COMP,2.12784,1,Bacteria
GCF_000012725.1_ASM1272v1,Proteobacteria,COMP,3.40209,1,Bacteria
GCF_000012785.1_ASM1278v1,Proteobacteria,COMP,7.30805,1,Bacteria
GCF_000012805.1_ASM1280v1,Proteobacteria,COMP,3.52211,1,Bacteria
GCF_000012845.1_ASM1284v1,Bacteroidetes/Chlorobi ,COMP,4.81138,1,Bacteria
GCF_000012865.1_ASM1286v1,Firmicutes,COMP,2.40152,2,Bacteria
GCF_000012885.1_ASM1288v1,Proteobacteria,COMP,3.66589,1,Bacteria
GCF_000012925.1_ASM1292v1,Proteobacteria,COMP,4.01118,1,Bacteria
GCF_000012985.1_ASM1298v1,Proteobacteria,COMP,7.21527,2,Bacteria
GCF_000013065.1_ASM1306v1,Firmicutes,COMP,5.50621,1,Bacteria
GCF_000013085.1_ASM1308v1,Proteobacteria,COMP,4.40656,12,Bacteria
GCF_000013105.1_ASM1310v1,Firmicutes,COMP,2.62878,2,Bacteria
GCF_000013205.1_ASM1320v1,Cyanobacteria,COMP,2.93277,8,Bacteria
GCF_000013225.1_ASM1322v1,Cyanobacteria,COMP,3.04668,7,Bacteria
GCF_000013245.1_ASM1324v1,Proteobacteria,COMP,1.60574,1,Bacteria
GCF_000013265.1_ASM1326v1,Proteobacteria,COMP,5.17997,2,Bacteria
GCF_000013305.1_ASM1330v1,Proteobacteria,COMP,4.93892,1,Bacteria
GCF_000013345.1_ASM1334v1,Actinobacteria,COMP,5.43363,3,Bacteria
GCF_000013385.1_ASM1338v1,Proteobacteria,COMP,5.01348,2,Bacteria
GCF_000013405.1_ASM1340v1,Proteobacteria,COMP,3.1793,2,Bacteria
GCF_000013425.1_ASM1342v1,Firmicutes,COMP,2.82136,3,Bacteria
GCF_000013445.1_ASM1344v1,Euryarchaeota,COMP,3.54474,6,Archaea
GCF_000013465.1_ASM1346v1,Firmicutes,COMP,2.91747,2,Bacteria
GCF_000013485.1_ASM1348v1,Firmicutes,COMP,1.83647,2,Bacteria
GCF_000013505.1_ASM1350v1,Firmicutes,COMP,1.92825,2,Bacteria
GCF_000013525.1_ASM1352v1,Firmicutes,COMP,1.86035,2,Bacteria
GCF_000013545.1_ASM1354v1,Firmicutes,COMP,1.93711,1,Bacteria
GCF_000013605.1_ASM1360v1,Proteobacteria,COMP,4.96978,2,Bacteria
GCF_000013665.1_ASM1366v1,Proteobacteria,COMP,5.05753,1,Bacteria
GCF_000013685.1_ASM1368v1,Proteobacteria,COMP,4.89272,1,Bacteria
GCF_000013705.1_ASM1370v1,Proteobacteria,COMP,2.97152,2,Bacteria
GCF_000013725.1_ASM1372v1,Euryarchaeota,COMP,2.57503,2,Archaea
GCF_000013745.1_ASM1374v1,Proteobacteria,COMP,5.51384,1,Bacteria
GCF_000013785.1_ASM1378v1,Proteobacteria,COMP,4.56742,1,Bacteria
GCF_000013805.1_ASM1380v1,Proteobacteria,COMP,4.64629,2,Bacteria
GCF_000013825.1_ASM1382v1,Proteobacteria,COMP,4.87984,3,Bacteria
GCF_000013925.1_ASM1392v1,Actinobacteria,COMP,5.80576,1,Bacteria
GCF_000014105.1_ASM1410v1,Proteobacteria,COMP,2.15342,2,Bacteria
GCF_000014125.1_ASM1412v1,Firmicutes,COMP,2.54772,3,Bacteria
GCF_000014145.1_ASM1414v1,Bacteroidetes/Chlorobi ,COMP,4.43322,1,Bacteria
GCF_000014185.1_ASM1418v1,Actinobacteria,COMP,3.22575,3,Bacteria
GCF_000014205.1_ASM1420v1,Firmicutes,COMP,2.38843,2,Bacteria
GCF_000014265.1_ASM1426v1,Cyanobacteria,COMP,7.75011,7,Bacteria
GCF_000014285.1_ASM1428v1,Proteobacteria,COMP,2.70836,4,Bacteria
GCF_000014405.1_ASM1440v1,Firmicutes,COMP,1.85695,1,Bacteria
GCF_000014465.1_ASM1446v1,Firmicutes,COMP,2.34023,3,Bacteria
GCF_000014485.1_ASM1448v1,Firmicutes,COMP,1.86418,3,Bacteria
GCF_000014525.1_ASM1452v1,Firmicutes,COMP,2.92433,1,Bacteria
GCF_000014565.1_ASM1456v1,Actinobacteria,COMP,9.70274,2,Bacteria
GCF_000014625.1_ASM1462v1,Proteobacteria,COMP,6.53765,2,Bacteria
GCF_000014645.1_ASM1464v1,Proteobacteria,COMP,1.91003,2,Bacteria
GCF_000014725.1_ASM1472v1,Firmicutes,COMP,2.9362,5,Bacteria
GCF_000014765.1_ASM1476v1,Proteobacteria,COMP,2.78182,3,Bacteria
GCF_000014785.1_ASM1478v1,Proteobacteria,COMP,3.27594,1,Bacteria
GCF_000014845.1_ASM1484v1,Proteobacteria,COMP,5.49765,2,Bacteria
GCF_000014865.1_ASM1486v1,Proteobacteria,COMP,4.71958,1,Bacteria
GCF_000014905.1_ASM1490v1,Fibrobacteres/Acidobacteria ,COMP,9.96564,1,Bacteria
GCF_000014925.1_ASM1492v1,Actinobacteria,COMP,5.22665,1,Bacteria
GCF_000014965.1_ASM1496v1,Proteobacteria,COMP,4.99025,4,Bacteria
GCF_000014985.1_ASM1498v1,Actinobacteria,COMP,5.47549,1,Bacteria
GCF_000015025.1_ASM1502v1,Actinobacteria,COMP,2.44354,1,Bacteria
GCF_000015045.1_ASM1504v1,Proteobacteria,COMP,4.24112,2,Bacteria
GCF_000015085.1_ASM1508v1,Proteobacteria,COMP,1.77361,2,Bacteria
GCF_000015125.1_ASM1512v1,Bacteroidetes/Chlorobi ,COMP,3.1339,5,Bacteria
GCF_000015145.1_ASM1514v1,Crenarchaeota,COMP,1.66716,2,Archaea
GCF_000015185.1_ASM1518v1,Proteobacteria,COMP,4.70838,2,Bacteria
GCF_000015205.1_ASM1520v1,Crenarchaeota,COMP,1.8264,5,Archaea
GCF_000015225.1_ASM1522v1,Crenarchaeota,COMP,1.81339,12,Archaea
GCF_000015285.1_ASM1528v1,Proteobacteria,COMP,4.5596,1,Bacteria
GCF_000015305.1_ASM1530v1,Actinobacteria,COMP,6.49186,1,Bacteria
GCF_000015345.1_ASM1534v1,Proteobacteria,COMP,1.38935,1,Bacteria
GCF_000015385.1_ASM1538v1,Firmicutes,COMP,2.08093,1,Bacteria
GCF_000015485.1_ASM1548v1,Proteobacteria,COMP,3.66139,1,Bacteria
GCF_000015545.1_ASM1554v1,Proteobacteria,COMP,4.58515,2,Bacteria
GCF_000015565.1_ASM1556v1,Proteobacteria,COMP,5.59794,3,Bacteria
GCF_000015585.1_ASM1558v1,Proteobacteria,COMP,2.67845,2,Bacteria
GCF_000015745.1_ASM1574v1,Firmicutes,COMP,3.60801,2,Bacteria
GCF_000015765.1_ASM1576v1,Euryarchaeota,COMP,1.80496,1,Archaea
GCF_000015865.1_ASM1586v1,Firmicutes,COMP,3.8433,5,Bacteria
GCF_000015885.1_ASM1588v1,Proteobacteria,COMP,2.27448,1,Bacteria
GCF_000015905.1_ASM1590v1,Proteobacteria,COMP,7.0404,1,Bacteria
GCF_000015925.1_ASM1592v1,Proteobacteria,COMP,7.08925,1,Bacteria
GCF_000015945.1_ASM1594v1,Crenarchaeota,COMP,1.57048,12,Archaea
GCF_000016045.1_ASM1604v1,Proteobacteria,COMP,5.00772,2,Bacteria
GCF_000016085.1_ASM1608v1,Bacteroidetes/Chlorobi ,COMP,1.96686,2,Bacteria
GCF_000016125.1_ASM1612v1,Euryarchaeota,COMP,1.78905,1,Archaea
GCF_000016145.1_ASM1614v1,Actinobacteria,COMP,4.41998,8,Bacteria
GCF_000016165.1_ASM1616v1,Firmicutes,COMP,3.6081,4,Bacteria
GCF_000016185.1_ASM1618v1,Proteobacteria,COMP,4.35554,6,Bacteria
GCF_000016245.1_ASM1624v1,Proteobacteria,COMP,4.13232,1,Bacteria
GCF_000016305.1_ASM1630v1,Proteobacteria,COMP,5.69489,1,Bacteria
GCF_000016325.1_ASM1632v1,Proteobacteria,COMP,4.67646,2,Bacteria
GCF_000016425.1_ASM1642v1,Actinobacteria,COMP,5.18333,3,Bacteria
GCF_000016445.1_ASM1644v1,Proteobacteria,COMP,4.72586,3,Bacteria
GCF_000016505.1_ASM1650v1,Firmicutes,COMP,4.0238,5,Bacteria
GCF_000016525.1_ASM1652v1,Euryarchaeota,COMP,1.85316,2,Archaea
GCF_000016545.1_ASM1654v1,Firmicutes,COMP,2.97027,10,Bacteria
GCF_000016565.1_ASM1656v1,Proteobacteria,COMP,5.07281,2,Bacteria
GCF_000016585.1_ASM1658v1,Proteobacteria,COMP,4.65922,1,Bacteria
GCF_000016605.1_ASM1660v1,Crenarchaeota,COMP,2.19152,5,Archaea
GCF_000016665.1_ASM1666v1,Chloroflexi,COMP,5.8016,13,Bacteria
GCF_000016685.1_ASM1668v1,Proteobacteria,COMP,2.24206,1,Bacteria
GCF_000016725.1_ASM1672v1,Proteobacteria,COMP,3.96308,3,Bacteria
GCF_000016745.1_ASM1674v1,Proteobacteria,COMP,5.13636,3,Bacteria
GCF_000016785.1_ASM1678v1,Thermotogae,COMP,1.82351,7,Bacteria
GCF_000016805.1_ASM1680v1,Firmicutes,COMP,2.93713,1,Bacteria
GCF_000016885.1_ASM1688v1,Proteobacteria,COMP,2.99505,1,Bacteria
GCF_000016905.1_ASM1690v1,Thermotogae,COMP,1.91524,5,Bacteria
GCF_000016925.1_ASM1692v1,Actinobacteria,COMP,4.42443,5,Bacteria
GCF_000016945.1_ASM1694v1,Proteobacteria,COMP,4.93513,2,Bacteria
GCF_000016985.1_ASM1698v1,Firmicutes,COMP,4.92957,2,Bacteria
GCF_000017005.1_ASM1700v1,Firmicutes,COMP,2.19666,1,Bacteria
GCF_000017025.1_ASM1702v1,Firmicutes,COMP,3.86345,5,Bacteria
GCF_000017045.1_ASM1704v1,Firmicutes,COMP,3.76056,5,Bacteria
GCF_000017065.1_ASM1706v1,Firmicutes,COMP,4.01292,4,Bacteria
GCF_000017085.1_ASM1708v1,Firmicutes,COMP,2.90308,2,Bacteria
GCF_000017125.1_ASM1712v1,Firmicutes,COMP,2.93694,1,Bacteria
GCF_000017165.1_ASM1716v1,Euryarchaeota,COMP,1.72005,2,Archaea
GCF_000017185.1_ASM1718v1,Euryarchaeota,COMP,1.5695,1,Archaea
GCF_000017205.1_ASM1720v1,Proteobacteria,COMP,6.58834,2,Bacteria
GCF_000017225.1_ASM1722v1,Euryarchaeota,COMP,1.77269,1,Archaea
GCF_000017245.1_ASM1724v1,Proteobacteria,COMP,2.31966,2,Bacteria
GCF_000017285.1_ASM1728v1,Proteobacteria,COMP,5.10034,3,Bacteria
GCF_000017325.1_ASM1732v1,Proteobacteria,COMP,5.31291,1,Bacteria
GCF_000017425.1_ASM1742v1,Firmicutes,COMP,4.09416,2,Bacteria
GCF_000017465.1_ASM1746v1,Proteobacteria,COMP,1.97126,2,Bacteria
GCF_000017485.1_ASM1748v1,Proteobacteria,COMP,1.84511,1,Bacteria
GCF_000017545.1_ASM1754v1,Thermotogae,COMP,1.94894,2,Bacteria
GCF_000017565.1_ASM1756v1,Proteobacteria,COMP,3.91474,1,Bacteria
GCF_000017585.1_ASM1758v1,Proteobacteria,COMP,1.71495,1,Bacteria
GCF_000017665.1_ASM1766v1,Proteobacteria,COMP,4.53078,3,Bacteria
GCF_000017705.1_ASM1770v1,Proteobacteria,COMP,6.05838,1,Bacteria
GCF_000017745.1_ASM1774v1,Proteobacteria,COMP,5.24929,2,Bacteria
GCF_000017765.1_ASM1776v1,Proteobacteria,COMP,4.64354,3,Bacteria
GCF_000017805.1_ASM1780v1,Chloroflexi,COMP,5.7233,14,Bacteria
GCF_000017845.1_ASM1784v1,Cyanobacteria,COMP,5.46038,4,Bacteria
GCF_000017865.1_ASM1786v1,Thermotogae,COMP,2.13534,2,Bacteria
GCF_000017905.1_ASM1790v1,Proteobacteria,COMP,1.62811,1,Bacteria
GCF_000017945.1_ASM1794v1,Crenarchaeota,COMP,1.29754,8,Archaea
GCF_000017985.1_ASM1798v1,Proteobacteria,COMP,4.62981,2,Bacteria
GCF_000018005.1_ASM1800v1,Actinobacteria,COMP,8.98204,5,Bacteria
GCF_000018045.1_ASM1804v1,Proteobacteria,COMP,4.73536,1,Bacteria
GCF_000018105.1_ASM1810v1,Cyanobacteria,COMP,8.3616,1,Bacteria
GCF_000018125.1_ASM1812v1,Firmicutes,COMP,1.81578,2,Bacteria
GCF_000018145.1_ASM1814v1,Proteobacteria,COMP,4.41787,2,Bacteria
GCF_000018225.1_ASM1822v1,Proteobacteria,COMP,1.25771,1,Bacteria
GCF_000018265.1_ASM1826v1,Actinobacteria,COMP,5.78636,8,Bacteria
GCF_000018305.1_ASM1830v1,Crenarchaeota,COMP,2.07757,7,Archaea
GCF_000018345.1_ASM1834v1,Actinobacteria,COMP,6.66014,6,Bacteria
GCF_000018365.1_ASM1836v1,Euryarchaeota,COMP,1.84761,5,Archaea
GCF_000018385.1_ASM1838v1,Proteobacteria,COMP,4.88849,2,Bacteria
GCF_000018405.1_ASM1840v1,Proteobacteria,COMP,3.94417,3,Bacteria
GCF_000018425.1_ASM1842v1,Firmicutes,COMP,2.34948,4,Bacteria
GCF_000018485.1_ASM1848v1,Euryarchaeota,COMP,1.74419,1,Archaea
GCF_000018605.1_ASM1860v1,Thermotogae,COMP,2.16955,2,Bacteria
GCF_000018625.1_ASM1862v1,Proteobacteria,COMP,4.6008,1,Bacteria
GCF_000018665.1_ASM1866v1,Proteobacteria,COMP,6.76751,1,Bacteria
GCF_000018705.1_ASM1870v1,Proteobacteria,COMP,4.85889,1,Bacteria
GCF_000018765.1_ASM1876v1,Proteobacteria,COMP,5.54754,1,Bacteria
GCF_000018805.1_ASM1880v1,Proteobacteria,COMP,4.68701,1,Bacteria
GCF_000018865.1_ASM1886v1,Chloroflexi,COMP,5.25854,6,Bacteria
GCF_000018945.1_ASM1894v1,Thermotogae,COMP,1.88456,7,Bacteria
GCF_000018965.1_ASM1896v1,Firmicutes,COMP,2.18468,1,Bacteria
GCF_000019045.1_ASM1904v1,Firmicutes,COMP,2.84675,3,Bacteria
GCF_000019065.1_ASM1906v1,Firmicutes,COMP,2.45726,4,Bacteria
GCF_000019085.1_ASM1908v1,Firmicutes,COMP,2.36282,7,Bacteria
GCF_000019145.1_ASM1914v1,Proteobacteria,COMP,5.8894,1,Bacteria
GCF_000019165.1_ASM1916v1,Firmicutes,COMP,3.07541,3,Bacteria
GCF_000019225.1_ASM1922v1,Proteobacteria,COMP,4.57657,1,Bacteria
GCF_000019245.4_ASM1924v3,Firmicutes,COMP,2.89846,1,Bacteria
GCF_000019285.1_ASM1928v1,Proteobacteria,COMP,2.04971,1,Bacteria
GCF_000019305.1_ASM1930v1,Firmicutes,COMP,4.10701,5,Bacteria
GCF_000019365.1_ASM1936v1,Proteobacteria,COMP,7.73703,3,Bacteria
GCF_000019385.1_ASM1938v1,Proteobacteria,COMP,4.74622,4,Bacteria
GCF_000019425.1_ASM1942v1,Proteobacteria,COMP,4.68614,2,Bacteria
GCF_000019465.1_ASM1946v1,Proteobacteria,COMP,4.68944,2,Bacteria
GCF_000019485.1_ASM1948v1,Cyanobacteria,COMP,3.40993,5,Bacteria
GCF_000019545.1_ASM1954v1,Firmicutes,COMP,4.25969,2,Bacteria
GCF_000019585.2_ASM1958v2,Proteobacteria,COMP,5.23855,1,Bacteria
GCF_000019605.1_ASM1960v1,Korarchaeota,COMP,1.59076,3,Archaea
GCF_000019625.1_ASM1962v1,Thermotogae,COMP,1.87769,7,Bacteria
GCF_000019645.1_ASM1964v1,Proteobacteria,COMP,5.21538,1,Bacteria
GCF_000019665.1_ASM1966v1,Chlamydiae/Verrucomicrobia ,COMP,2.28715,5,Bacteria
GCF_000019685.1_ASM1968v1,Spirochaetes,COMP,1.57488,2,Bacteria
GCF_000019745.1_ASM1974v1,Proteobacteria,COMP,1.56047,1,Bacteria
GCF_000019785.1_ASM1978v1,Proteobacteria,COMP,4.9094,1,Bacteria
GCF_000019905.1_ASM1990v1,Firmicutes,COMP,3.04079,1,Bacteria
GCF_000019985.1_ASM1998v1,Firmicutes,COMP,2.2092,1,Bacteria
